dim,cloud_size,max_iter,d_fact,c1_c2,profit
10,25,25,0.1,1.0,8.52526524109414
10,25,50,0.1,1.0,7.684956984546419
10,25,100,0.1,1.0,6.335411784766072
10,50,25,0.1,1.0,6.0972803754433205
10,50,50,0.1,1.0,9.2569822659961
10,50,100,0.1,1.0,8.5781862688932
10,100,25,0.1,1.0,6.65280181045515
10,100,50,0.1,1.0,8.627510085871561
10,100,100,0.1,1.0,7.14753441509532

20,25,25,0.1,1.0,23.122892676061554
20,25,50,0.1,1.0,17.474977371695044
20,25,100,0.1,1.0,22.19023352535655
20,50,25,0.1,1.0,20.291415806119172
20,50,50,0.1,1.0,19.57491534737435
20,50,100,0.1,1.0,21.73510288626844
20,100,25,0.1,1.0,23.842685940094537
20,100,50,0.1,1.0,19.133735727086165
20,100,100,0.1,1.0,22.43399649994375
30,25,25,0.1,1.0,42.911267378070676
30,25,50,0.1,1.0,44.9077586396043
30,25,100,0.1,1.0,38.45795244602816
30,50,25,0.1,1.0,42.835258685276855
30,50,50,0.1,1.0,42.46456018792062
30,50,100,0.1,1.0,43.347800391724945
30,100,25,0.1,1.0,37.01050602218504
30,100,50,0.1,1.0,36.52254139072958
30,100,100,0.1,1.0,37.00800874418226


40,25,25,0.1,1.0,58.22727471756215
40,25,50,0.1,1.0,61.17462789259689
40,25,100,0.1,1.0,56.29166225568417
40,50,25,0.1,1.0,56.537305661096916
40,50,50,0.1,1.0,59.148425046184755
40,50,100,0.1,1.0,50.76923364449368
40,100,25,0.1,1.0,57.48130805756024
40,100,50,0.1,1.0,50.65377762842845
40,100,100,0.1,1.0,50.617908194405295

50,25,25,0.1,1.0,85.49326530066024
50,25,50,0.1,1.0,64.73417235722813
50,25,100,0.1,1.0,68.44250488402287
50,50,25,0.1,1.0,75.83501631853046
50,50,50,0.1,1.0,75.0000442476201
50,50,100,0.1,1.0,78.94590609109325
50,100,25,0.1,1.0,69.23960712588914
50,100,50,0.1,1.0,69.96242125185155
50,100,100,0.1,1.0,63.1172477763652


10,25,25,0.5,1.0,7.880563597666141
10,25,50,0.5,1.0,8.064922979295543
10,25,100,0.5,1.0,9.716805636997034
10,50,25,0.5,1.0,12.65123067078091
10,50,50,0.5,1.0,8.828668017583349
10,50,100,0.5,1.0,8.660446705342233
10,100,25,0.5,1.0,8.439687248691474
10,100,50,0.5,1.0,9.822358932419641
10,100,100,0.5,1.0,9.085165605819462

20,25,25,0.5,1.0,28.3733579544823
20,25,50,0.5,1.0,32.929396812547054
20,25,100,0.5,1.0,29.108136748667373
20,50,25,0.5,1.0,26.112820409035777
20,50,50,0.5,1.0,23.788161639884425
20,50,100,0.5,1.0,18.848953282719506
20,100,25,0.5,1.0,14.903562037026273
20,100,50,0.5,1.0,27.68031183261849
20,100,100,0.5,1.0,19.860808168592104

30,25,25,0.5,1.0,42.49688990948001
30,25,50,0.5,1.0,47.142199100255745
30,25,100,0.5,1.0,41.42764291021973
30,50,25,0.5,1.0,38.23255162559051
30,50,50,0.5,1.0,33.82647951768144
30,50,100,0.5,1.0,40.34727075773139
30,100,25,0.5,1.0,46.131548902785184
30,100,50,0.5,1.0,42.68857943956257
30,100,100,0.5,1.0,43.250618168649375


40,25,25,0.5,1.0,73.3759516834989
40,25,50,0.5,1.0,63.60372860534544
40,25,100,0.5,1.0,63.58633821342972
40,50,25,0.5,1.0,61.43304940987313
40,50,50,0.5,1.0,50.15616443603019
40,50,100,0.5,1.0,54.738338606591896
40,100,25,0.5,1.0,59.02953816942526
40,100,50,0.5,1.0,60.528691823637985
40,100,100,0.5,1.0,57.534820276029215


50,25,25,0.5,1.0,94.553348512337
50,25,50,0.5,1.0,91.4404434120125
50,25,100,0.5,1.0,81.13167039119249
50,50,25,0.5,1.0,74.09525074863137
50,50,50,0.5,1.0,80.0711290636202
50,50,100,0.5,1.0,76.15617090938946
50,100,25,0.5,1.0,76.30590953687418
50,100,50,0.5,1.0,73.05742705708104
50,100,100,0.5,1.0,74.90080447770384


10,25,25,0.9,1.0,12.635407399295644
10,25,50,0.9,1.0,12.948490667594733
10,25,100,0.9,1.0,10.517978950441034
10,50,25,0.9,1.0,12.175512392664757
10,50,50,0.9,1.0,7.874723986579973
10,50,100,0.9,1.0,8.22343951260634
10,100,25,0.9,1.0,8.499448350537829
10,100,50,0.9,1.0,7.87545607195508
10,100,100,0.9,1.0,7.13596346141979

20,25,25,0.9,1.0,26.11935128903899
20,25,50,0.9,1.0,21.367980727103213
20,25,100,0.9,1.0,25.287914357105254
20,50,25,0.9,1.0,22.357282771570517
20,50,50,0.9,1.0,28.354739350883875
20,50,100,0.9,1.0,23.485592522901037
20,100,25,0.9,1.0,21.270015490468978
20,100,50,0.9,1.0,24.376570674471242
20,100,100,0.9,1.0,22.067279156719533

30,25,25,0.9,1.0,50.22609363029402
30,25,50,0.9,1.0,45.53059348108078
30,25,100,0.9,1.0,52.04664825278944
30,50,25,0.9,1.0,51.18713321040379
30,50,50,0.9,1.0,43.03082688030725
30,50,100,0.9,1.0,45.52874159867619
30,100,25,0.9,1.0,42.09830141981949
30,100,50,0.9,1.0,51.827495716277674
30,100,100,0.9,1.0,46.37686486121579

40,25,25,0.9,1.0,65.26189548310458
40,25,50,0.9,1.0,67.29673084577708
40,25,100,0.9,1.0,75.23188239033428
40,50,25,0.9,1.0,58.835464765468814
40,50,50,0.9,1.0,68.85811733931166
40,50,100,0.9,1.0,58.83520502945561
40,100,25,0.9,1.0,58.88167774715643
40,100,50,0.9,1.0,59.4558240092439
40,100,100,0.9,1.0,59.15552119439259

50,25,25,0.9,1.0,86.86911618366058
50,25,50,0.9,1.0,96.10660581930942
50,25,100,0.9,1.0,87.31002561528861
50,50,25,0.9,1.0,91.23510075410762
50,50,50,0.9,1.0,78.47625833214084
50,50,100,0.9,1.0,88.35951484787347
50,100,25,0.9,1.0,81.69897497232878
50,100,50,0.9,1.0,81.23954436464075
50,100,100,0.9,1.0,81.56408626941074

10,25,25,0.1,1.25,9.651223082212194
10,25,50,0.1,1.25,10.247140542460482
10,25,100,0.1,1.25,7.0521284498780545
10,50,25,0.1,1.25,8.374839442390448
10,50,50,0.1,1.25,5.80926410248663
10,50,100,0.1,1.25,4.811745703842651
10,100,25,0.1,1.25,6.284932980791211
10,100,50,0.1,1.25,6.764365320711501
10,100,100,0.1,1.25,7.274813003723348

20,25,25,0.1,1.25,22.97095007337357
20,25,50,0.1,1.25,17.912176929577072
20,25,100,0.1,1.25,15.918928022893477
20,50,25,0.1,1.25,22.111184639486098
20,50,50,0.1,1.25,18.532266638249652
20,50,100,0.1,1.25,19.43466473760651
20,100,25,0.1,1.25,22.496912077729302
20,100,50,0.1,1.25,21.692055849385717
20,100,100,0.1,1.25,18.84515866231804

30,25,25,0.1,1.25,39.59167095335671
30,25,50,0.1,1.25,39.66522377636864
30,25,100,0.1,1.25,41.93901425723116
30,50,25,0.1,1.25,40.79511554650614
30,50,50,0.1,1.25,37.19130327219317
30,50,100,0.1,1.25,41.075706981002455
30,100,25,0.1,1.25,41.736812283265756
30,100,50,0.1,1.25,35.622471905605174
30,100,100,0.1,1.25,36.847408191261955

40,25,25,0.1,1.25,62.50235678698478
40,25,50,0.1,1.25,63.81366230476299
40,25,100,0.1,1.25,59.30318038285964
40,50,25,0.1,1.25,51.445511410350626
40,50,50,0.1,1.25,53.65096484242319
40,50,100,0.1,1.25,53.413811928438264
40,100,25,0.1,1.25,52.49297407010021
40,100,50,0.1,1.25,53.62930462871028
40,100,100,0.1,1.25,57.019221201073464

50,25,25,0.1,1.25,75.27675144831265
50,25,50,0.1,1.25,69.38692003769152
50,25,100,0.1,1.25,87.56106910581174
50,50,25,0.1,1.25,72.39445057003147
50,50,50,0.1,1.25,59.16524190050668
50,50,100,0.1,1.25,74.01076099010817
50,100,25,0.1,1.25,71.4158519938938
50,100,50,0.1,1.25,68.33690500168761
50,100,100,0.1,1.25,67.53928244651428

10,25,25,0.5,1.25,8.977046864969996
10,25,50,0.5,1.25,6.547543281930604
10,25,100,0.5,1.25,7.733584553565317
10,50,25,0.5,1.25,9.586483143029874
10,50,50,0.5,1.25,6.93756581085104
10,50,100,0.5,1.25,6.543637185584817
10,100,25,0.5,1.25,5.833748755136172
10,100,50,0.5,1.25,8.667358777782013
10,100,100,0.5,1.25,7.468874556261851

20,25,25,0.5,1.25,28.57411455956728
20,25,50,0.5,1.25,22.713871033179082
20,25,100,0.5,1.25,25.478683964846354
20,50,25,0.5,1.25,28.499567419674765
20,50,50,0.5,1.25,23.33481547050846
20,50,100,0.5,1.25,23.163946794402328
20,100,25,0.5,1.25,25.676819927802566
20,100,50,0.5,1.25,24.586798147717726
20,100,100,0.5,1.25,17.755826363059587

30,25,25,0.5,1.25,45.05852297763895
30,25,50,0.5,1.25,44.98793499020759
30,25,100,0.5,1.25,42.64008411582733
30,50,25,0.5,1.25,43.64753407016222
30,50,50,0.5,1.25,43.349790918458496
30,50,100,0.5,1.25,34.36964602759672
30,100,25,0.5,1.25,37.05708384972811
30,100,50,0.5,1.25,37.4230696970952
30,100,100,0.5,1.25,42.013391368464895

40,25,25,0.5,1.25,66.41302364661094
40,25,50,0.5,1.25,53.36610806636371
40,25,100,0.5,1.25,63.75152251681688
40,50,25,0.5,1.25,64.70721922992668
40,50,50,0.5,1.25,62.00306856300011
40,50,100,0.5,1.25,66.75200429475147
40,100,25,0.5,1.25,58.129271407964445
40,100,50,0.5,1.25,48.8268858554947
40,100,100,0.5,1.25,65.0404202982354

50,25,25,0.5,1.25,86.53175834467403
50,25,50,0.5,1.25,83.90643027702228
50,25,100,0.5,1.25,90.33760662642744
50,50,25,0.5,1.25,78.11623261757244
50,50,50,0.5,1.25,87.27237702249373
50,50,100,0.5,1.25,89.33012877941914
50,100,25,0.5,1.25,75.23698948908596
50,100,50,0.5,1.25,87.32611033358862
50,100,100,0.5,1.25,73.86137257417742

10,25,25,0.9,1.25,12.565791192861857
10,25,50,0.9,1.25,10.961759890790509
10,25,100,0.9,1.25,7.660606937934368
10,50,25,0.9,1.25,8.99133842919539
10,50,50,0.9,1.25,7.3725949662696095
10,50,100,0.9,1.25,7.3317456225240365
10,100,25,0.9,1.25,5.441378749119242
10,100,50,0.9,1.25,6.583303985489803
10,100,100,0.9,1.25,10.143851644472537

20,25,25,0.9,1.25,30.44958720367019
20,25,50,0.9,1.25,28.383719357016894
20,25,100,0.9,1.25,28.829365385377425
20,50,25,0.9,1.25,26.385812120627634
20,50,50,0.9,1.25,25.973707818356626
20,50,100,0.9,1.25,24.41437405251708
20,100,25,0.9,1.25,26.60918708701301
20,100,50,0.9,1.25,20.8149245487485
20,100,100,0.9,1.25,24.203151551489498

30,25,25,0.9,1.25,44.65077191952364
30,25,50,0.9,1.25,45.651603176841775
30,25,100,0.9,1.25,52.31903859208291
30,50,25,0.9,1.25,53.53547176820922
30,50,50,0.9,1.25,35.76018813584374
30,50,100,0.9,1.25,47.03057319720951
30,100,25,0.9,1.25,44.85816674948999
30,100,50,0.9,1.25,45.15893341300227
30,100,100,0.9,1.25,44.40499935390123

40,25,25,0.9,1.25,52.302539981784925
40,25,50,0.9,1.25,70.64700449662864
40,25,100,0.9,1.25,70.59862242435797
40,50,25,0.9,1.25,64.69954773002142
40,50,50,0.9,1.25,64.47421354148904
40,50,100,0.9,1.25,60.703317087056426
40,100,25,0.9,1.25,55.88870832747128
40,100,50,0.9,1.25,67.79567297618377
40,100,100,0.9,1.25,55.669375414752885

50,25,25,0.9,1.25,90.97061504821326
50,25,50,0.9,1.25,76.15338335195662
50,25,100,0.9,1.25,102.28048676332746
50,50,25,0.9,1.25,95.38820083399769
50,50,50,0.9,1.25,86.89960289063472
50,50,100,0.9,1.25,82.09332800383092
50,100,25,0.9,1.25,72.78991462954063
50,100,50,0.9,1.25,85.33448025599348
50,100,100,0.9,1.25,93.81668778876225

10,25,25,0.1,1.5,7.644121067797751
10,25,50,0.1,1.5,3.9857343933639258
10,25,100,0.1,1.5,5.281230026130321
10,50,25,0.1,1.5,7.6832466946794655
10,50,50,0.1,1.5,5.463855671578139
10,50,100,0.1,1.5,6.225411313212966
10,100,25,0.1,1.5,4.619431744560712
10,100,50,0.1,1.5,3.6487271279440376
10,100,100,0.1,1.5,6.649829635555043

20,25,25,0.1,1.5,24.754704794194605
20,25,50,0.1,1.5,21.196768356621373
20,25,100,0.1,1.5,21.824814614524396
20,50,25,0.1,1.5,19.249815730107127
20,50,50,0.1,1.5,24.246905831195217
20,50,100,0.1,1.5,12.578605194842586
20,100,25,0.1,1.5,18.462816583085694
20,100,50,0.1,1.5,17.016795604940448
20,100,100,0.1,1.5,19.858731471845473

30,25,25,0.1,1.5,43.95947241274138
30,25,50,0.1,1.5,40.17772856655815
30,25,100,0.1,1.5,38.119331604495784
30,50,25,0.1,1.5,40.00057174215567
30,50,50,0.1,1.5,39.39994456307203
30,50,100,0.1,1.5,32.64457905136813
30,100,25,0.1,1.5,32.012165698965234
30,100,50,0.1,1.5,44.53891674484952
30,100,100,0.1,1.5,27.350241810615632

40,25,25,0.1,1.5,62.453992692462045
40,25,50,0.1,1.5,58.05717220096446
40,25,100,0.1,1.5,62.42219554489724
40,50,25,0.1,1.5,55.24210695847667
40,50,50,0.1,1.5,56.78385771362288
40,50,100,0.1,1.5,54.879478928318846
40,100,25,0.1,1.5,55.48106701840188
40,100,50,0.1,1.5,49.04160374485627
40,100,100,0.1,1.5,55.210655196999205

50,25,25,0.1,1.5,82.31980386305307
50,25,50,0.1,1.5,88.15150307651874
50,25,100,0.1,1.5,81.86290239720883
50,50,25,0.1,1.5,70.57745344017074
50,50,50,0.1,1.5,74.37992114531653
50,50,100,0.1,1.5,72.11191532972539
50,100,25,0.1,1.5,70.22663142505883
50,100,50,0.1,1.5,72.41185196736654
50,100,100,0.1,1.5,62.73257992092476

10,25,25,0.5,1.5,10.02781482864852
10,25,50,0.5,1.5,10.079574852276503
10,25,100,0.5,1.5,8.10421855182087
10,50,25,0.5,1.5,5.556272498006506
10,50,50,0.5,1.5,6.701280148788875
10,50,100,0.5,1.5,7.202362771825685
10,100,25,0.5,1.5,6.382951877441904
10,100,50,0.5,1.5,6.564045358199962
10,100,100,0.5,1.5,3.6014382087129655

20,25,25,0.5,1.5,24.7342278368953
20,25,50,0.5,1.5,26.476428047866623
20,25,100,0.5,1.5,17.74934140527657
20,50,25,0.5,1.5,26.317428810831853
20,50,50,0.5,1.5,18.12917938972312
20,50,100,0.5,1.5,24.287317557535953
20,100,25,0.5,1.5,21.406913056432103
20,100,50,0.5,1.5,23.911671258891644
20,100,100,0.5,1.5,22.89799142212999

30,25,25,0.5,1.5,48.10114794094523
30,25,50,0.5,1.5,48.75295306816122
30,25,100,0.5,1.5,41.45212780108698
30,50,25,0.5,1.5,39.27560991957823
30,50,50,0.5,1.5,32.66095048162679
30,50,100,0.5,1.5,38.4371014920599
30,100,25,0.5,1.5,34.47556393577027
30,100,50,0.5,1.5,37.30247642752426
30,100,100,0.5,1.5,42.88336958265147

40,25,25,0.5,1.5,61.5822815659292
40,25,50,0.5,1.5,56.88365308496506
40,25,100,0.5,1.5,59.91165549357552
40,50,25,0.5,1.5,61.22316031026023
40,50,50,0.5,1.5,64.72485757855158
40,50,100,0.5,1.5,63.69050477769071
40,100,25,0.5,1.5,55.20002593808912
40,100,50,0.5,1.5,52.698142145957945
40,100,100,0.5,1.5,59.98445218545494

50,25,25,0.5,1.5,96.34563182009764
50,25,50,0.5,1.5,79.29927926010848
50,25,100,0.5,1.5,75.90686842859064
50,50,25,0.5,1.5,83.67657197146069
50,50,50,0.5,1.5,81.68735626462808
50,50,100,0.5,1.5,83.22917531868531
50,100,25,0.5,1.5,80.05568326599919
50,100,50,0.5,1.5,82.35760782961799
50,100,100,0.5,1.5,82.9398707349753

10,25,25,0.9,1.5,8.695135742838382
10,25,50,0.9,1.5,10.01408301264902
10,25,100,0.9,1.5,7.478357952766188
10,50,25,0.9,1.5,9.972172099672363
10,50,50,0.9,1.5,9.266260081820946
10,50,100,0.9,1.5,8.204723343766249
10,100,25,0.9,1.5,7.661431678835548
10,100,50,0.9,1.5,7.763854317646873
10,100,100,0.9,1.5,6.658541234343594

20,25,25,0.9,1.5,30.400313000422777
20,25,50,0.9,1.5,27.381017637117353
20,25,100,0.9,1.5,28.568011919761986
20,50,25,0.9,1.5,22.26985625217897
20,50,50,0.9,1.5,27.15032864918223
20,50,100,0.9,1.5,24.732849140375933
20,100,25,0.9,1.5,18.603542881198624
20,100,50,0.9,1.5,22.546002250533963
20,100,100,0.9,1.5,11.554853334789977

30,25,25,0.9,1.5,42.254670540511505
30,25,50,0.9,1.5,45.96876707045013
30,25,100,0.9,1.5,37.61475766079003
30,50,25,0.9,1.5,43.56450977864524
30,50,50,0.9,1.5,45.100711492599316
30,50,100,0.9,1.5,36.45142994966674
30,100,25,0.9,1.5,38.13985191834534
30,100,50,0.9,1.5,48.21298558756874
30,100,100,0.9,1.5,46.599381419539945

40,25,25,0.9,1.5,65.8686368665707
40,25,50,0.9,1.5,65.10248971300393
40,25,100,0.9,1.5,75.01653584768962
40,50,25,0.9,1.5,60.26284569274844
40,50,50,0.9,1.5,57.36804333318852
40,50,100,0.9,1.5,59.540066595205275
40,100,25,0.9,1.5,64.28664651300063
40,100,50,0.9,1.5,66.91867527448538
40,100,100,0.9,1.5,68.16751586903527


50,25,25,0.9,1.5,96.61322799018212
50,25,50,0.9,1.5,85.0508913892357
50,25,100,0.9,1.5,87.35465933110984
50,50,25,0.9,1.5,84.56745655237464
50,50,50,0.9,1.5,89.06238746297844
50,50,100,0.9,1.5,85.75969368862654
50,100,25,0.9,1.5,81.49762811192724
50,100,50,0.9,1.5,81.1962355712561
50,100,100,0.9,1.5,83.35098224463917
